epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1211.1,1.32663,1.1792,1.34146,0.823,0.54666,0.68826,0.4622,1.39752,1.11285,1.38763,0.00963306,0.00963306,0.00963306
76,1227.12,1.35943,1.23695,1.35945,0.86172,0.47804,0.67514,0.44297,1.53992,1.1595,1.47715,0.0096232,0.0096232,0.0096232
77,1243.19,1.34726,1.21501,1.35045,0.81843,0.57168,0.7067,0.48001,1.38703,1.07386,1.35938,0.00961322,0.00961322,0.00961322
78,1259.22,1.36137,1.219,1.36196,0.81978,0.52044,0.67553,0.46103,1.40647,1.11943,1.3848,0.00960312,0.00960312,0.00960312
79,1275.4,1.33365,1.18285,1.34676,0.83411,0.56095,0.69208,0.47131,1.41174,1.11377,1.40506,0.00959289,0.00959289,0.00959289
80,1291.52,1.36011,1.22188,1.3603,0.86341,0.54373,0.70754,0.4686,1.41321,1.0706,1.38708,0.00958253,0.00958253,0.00958253
81,1307.54,1.33717,1.1759,1.33003,0.87352,0.46439,0.67083,0.46743,1.37418,1.10369,1.36042,0.00957205,0.00957205,0.00957205
82,1323.52,1.33216,1.19254,1.33591,0.86906,0.47251,0.67541,0.46685,1.47209,1.11485,1.42237,0.00956145,0.00956145,0.00956145
83,1339.54,1.33374,1.17889,1.35029,0.84836,0.45409,0.65572,0.45468,1.40802,1.0964,1.38389,0.00955072,0.00955072,0.00955072
84,1355.61,1.3267,1.15729,1.33862,0.80241,0.59775,0.69512,0.47222,1.41216,1.07668,1.38748,0.00953987,0.00953987,0.00953987
85,1371.66,1.32823,1.1698,1.34111,0.89378,0.4498,0.6725,0.45915,1.43238,1.08642,1.39706,0.00952889,0.00952889,0.00952889
86,1387.8,1.32009,1.14272,1.33361,0.82268,0.57922,0.69921,0.48197,1.39059,1.06402,1.38764,0.0095178,0.0095178,0.0095178
87,1404.13,1.32662,1.15662,1.33554,0.83388,0.58121,0.71109,0.48561,1.39878,1.06604,1.39838,0.00950658,0.00950658,0.00950658
88,1420.48,1.31811,1.1599,1.34977,0.88298,0.49137,0.69051,0.47433,1.38755,1.03752,1.36651,0.00949524,0.00949524,0.00949524
89,1436.59,1.31777,1.14354,1.33651,0.79741,0.53646,0.67917,0.45284,1.44785,1.12756,1.41726,0.00948377,0.00948377,0.00948377
90,1452.69,1.3307,1.17125,1.33386,0.84317,0.53064,0.69281,0.46931,1.41747,1.0476,1.37361,0.00947219,0.00947219,0.00947219
91,1468.67,1.30949,1.11194,1.31739,0.81015,0.58254,0.70395,0.46228,1.40103,1.06577,1.37491,0.00946048,0.00946048,0.00946048
92,1484.77,1.32165,1.14812,1.33961,0.7991,0.57933,0.69959,0.47784,1.41828,1.09897,1.38817,0.00944866,0.00944866,0.00944866
93,1500.88,1.31773,1.15149,1.33639,0.86497,0.51107,0.69098,0.45723,1.40978,1.04543,1.3757,0.00943671,0.00943671,0.00943671
94,1516.96,1.33566,1.19388,1.34472,0.86943,0.515,0.7007,0.48197,1.40542,1.08971,1.39302,0.00942464,0.00942464,0.00942464
95,1533.1,1.30784,1.15046,1.32326,0.83818,0.58,0.71304,0.49632,1.36824,1.04037,1.36488,0.00941245,0.00941245,0.00941245
96,1549.23,1.32459,1.1418,1.32743,0.86505,0.46821,0.66546,0.47156,1.42565,1.07876,1.40297,0.00940014,0.00940014,0.00940014
97,1565.34,1.3071,1.0959,1.31662,0.73421,0.42807,0.58541,0.41015,1.37598,1.05358,1.37404,0.00938772,0.00938772,0.00938772
98,1581.4,1.29952,1.13418,1.31681,0.81648,0.54037,0.68835,0.48199,1.40473,1.04712,1.38224,0.00937517,0.00937517,0.00937517
99,1597.47,1.32534,1.14128,1.32483,0.83178,0.56132,0.70258,0.4823,1.42312,1.03947,1.39791,0.00936251,0.00936251,0.00936251
100,1613.59,1.3134,1.12019,1.32852,0.82203,0.57538,0.70929,0.49849,1.37499,0.96598,1.35618,0.00934973,0.00934973,0.00934973
101,1629.84,1.31358,1.11295,1.32381,0.84121,0.53177,0.6971,0.48301,1.39009,1.05843,1.36698,0.00933683,0.00933683,0.00933683
102,1646.35,1.30281,1.14753,1.32343,0.89372,0.52402,0.7146,0.49453,1.39225,1.05488,1.35278,0.00932381,0.00932381,0.00932381
103,1662.52,1.29602,1.06075,1.31072,0.83365,0.58629,0.71617,0.48792,1.44773,1.05326,1.40372,0.00931067,0.00931067,0.00931067
104,1678.56,1.29404,1.11837,1.3016,0.84204,0.55552,0.69913,0.48924,1.40355,1.03573,1.39133,0.00929742,0.00929742,0.00929742
105,1694.71,1.30783,1.13182,1.30829,0.85253,0.53592,0.7072,0.5014,1.37871,1.00705,1.35415,0.00928405,0.00928405,0.00928405
106,1710.76,1.29582,1.10984,1.30763,0.88368,0.53702,0.71409,0.49664,1.36147,0.99249,1.33416,0.00927057,0.00927057,0.00927057
107,1726.95,1.30029,1.09788,1.30645,0.86717,0.58252,0.73995,0.51113,1.4185,1.04095,1.38385,0.00925697,0.00925697,0.00925697
108,1743.09,1.29607,1.08518,1.31273,0.88248,0.52167,0.7095,0.49772,1.35774,0.98107,1.33857,0.00924325,0.00924325,0.00924325
109,1759.25,1.29199,1.0882,1.31269,0.82218,0.54865,0.69052,0.48067,1.40326,1.07189,1.38791,0.00922942,0.00922942,0.00922942
110,1775.26,1.29728,1.09927,1.30796,0.84344,0.49467,0.66406,0.45495,1.39141,1.02753,1.36732,0.00921548,0.00921548,0.00921548
111,1791.53,1.29584,1.09858,1.30717,0.8357,0.55602,0.69826,0.48139,1.38349,1.01255,1.3642,0.00920142,0.00920142,0.00920142
112,1807.63,1.2815,1.07953,1.30535,0.81328,0.56186,0.69619,0.48715,1.37228,0.99445,1.35768,0.00918725,0.00918725,0.00918725
113,1823.63,1.28249,1.05942,1.29849,0.8192,0.52837,0.68346,0.47456,1.38859,1.02022,1.38426,0.00917296,0.00917296,0.00917296
114,1839.65,1.27601,1.09055,1.30494,0.82232,0.54225,0.68347,0.47696,1.40731,1.01448,1.39425,0.00915856,0.00915856,0.00915856
115,1855.87,1.29811,1.06795,1.31622,0.81542,0.59501,0.70764,0.4838,1.40752,1.0243,1.38741,0.00914405,0.00914405,0.00914405
116,1872.14,1.27225,1.05456,1.28438,0.8323,0.5334,0.69406,0.48486,1.44278,1.06777,1.39765,0.00912942,0.00912942,0.00912942
117,1888.73,1.27886,1.06346,1.30645,0.85448,0.55581,0.70763,0.48614,1.38391,1.02265,1.37672,0.00911469,0.00911469,0.00911469
118,1904.97,1.2719,1.03866,1.29164,0.85433,0.59795,0.72484,0.49801,1.40849,0.99645,1.38047,0.00909984,0.00909984,0.00909984
119,1920.96,1.27235,1.05343,1.29388,0.8099,0.58315,0.70606,0.49295,1.40978,1.04109,1.38141,0.00908488,0.00908488,0.00908488
120,1937.1,1.27176,1.03766,1.28769,0.85853,0.60286,0.73143,0.50354,1.3837,0.96583,1.36377,0.00906981,0.00906981,0.00906981
121,1953.23,1.27896,1.08722,1.30856,0.83705,0.58377,0.72017,0.4989,1.37759,0.98711,1.36839,0.00905463,0.00905463,0.00905463
122,1969.42,1.26437,1.02962,1.29097,0.87269,0.5688,0.72182,0.50184,1.36123,0.96297,1.3436,0.00903934,0.00903934,0.00903934
123,1985.33,1.26949,1.05519,1.30152,0.85137,0.52248,0.69259,0.47834,1.40329,0.98959,1.39911,0.00902395,0.00902395,0.00902395
124,2001.44,1.27064,1.03951,1.29496,0.86771,0.54577,0.7182,0.49174,1.45933,1.04571,1.4114,0.00900844,0.00900844,0.00900844
125,2017.52,1.24907,1.00731,1.27339,0.84387,0.5928,0.72719,0.50102,1.37613,1.01703,1.35137,0.00899282,0.00899282,0.00899282
126,2033.7,1.28977,1.09542,1.29047,0.87398,0.53199,0.71027,0.49198,1.3851,0.99516,1.35732,0.0089771,0.0089771,0.0089771
127,2049.81,1.26692,1.06191,1.2847,0.8169,0.56777,0.70838,0.49159,1.38111,1.02428,1.35649,0.00896127,0.00896127,0.00896127
128,2065.9,1.26363,1.05712,1.29219,0.87071,0.56847,0.71833,0.50965,1.37216,0.96636,1.36472,0.00894533,0.00894533,0.00894533
129,2082.14,1.25506,1.04561,1.28389,0.86847,0.57098,0.72389,0.50067,1.37308,0.98468,1.35699,0.00892928,0.00892928,0.00892928
130,2098.22,1.27268,1.06723,1.30306,0.85566,0.57442,0.71416,0.47832,1.39971,1.01913,1.37153,0.00891313,0.00891313,0.00891313
131,2114.83,1.28698,1.06806,1.30107,0.8204,0.62487,0.74245,0.50873,1.36508,0.99331,1.34203,0.00889687,0.00889687,0.00889687
132,2131.35,1.25233,1.03399,1.28026,0.82914,0.57005,0.69151,0.485,1.38162,1.01127,1.36835,0.00888051,0.00888051,0.00888051
133,2147.62,1.28035,1.05195,1.29804,0.8194,0.57387,0.70715,0.48362,1.38108,0.98838,1.36333,0.00886404,0.00886404,0.00886404
134,2163.9,1.27283,1.03652,1.29324,0.78136,0.61089,0.70934,0.48756,1.37866,0.99675,1.35514,0.00884747,0.00884747,0.00884747
135,2180.01,1.26662,1.04273,1.27737,0.78468,0.60582,0.70891,0.48348,1.38861,1.02391,1.36856,0.00883079,0.00883079,0.00883079
136,2196.21,1.26535,1.06127,1.29424,0.80964,0.57628,0.70194,0.48593,1.37782,0.9828,1.37134,0.00881401,0.00881401,0.00881401
137,2212.44,1.27385,1.04088,1.29981,0.83523,0.58428,0.71423,0.5081,1.38102,0.99536,1.37382,0.00879713,0.00879713,0.00879713
